score,mandatory_review,role_category,company,title,location,location_priority,years_min,years_max,is_internship,resume_to_use,ats_score,tailored,resume_file,source,ats,final_url,url
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=UFNzh8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=UFNzh8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=pH01iMi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=pH01iMi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=_ENHisi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=_ENHisi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,Spectra Technovision (India) Pvt. Ltd.,Technical Associate,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/technical-associate-at-spectra-technovision-india-pvt-ltd-4470091882,https://www.linkedin.com/jobs/view/4470091882
70.0,1,other,zoning,Geographic Information System Specialist,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/geographic-information-system-specialist-at-zoning-4455804476,https://www.linkedin.com/jobs/view/4455804476
70.0,1,other,Serenetic Software Pvt Ltd,DevOps Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/devops-engineer-at-serenetic-software-pvt-ltd-4470166846,https://www.linkedin.com/jobs/view/4470166846
70.0,1,other,Zydus Group,Cloud Solution Architect – Enterprise AI Infrastructure & FinOps,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/cloud-solution-architect-%E2%80%93-enterprise-ai-infrastructure-finops-at-zydus-group-4471871118,https://www.linkedin.com/jobs/view/4471871118
70.0,1,other,Oracle,Principal Advanced Services Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/principal-advanced-services-engineer-at-oracle-4441085596,https://www.linkedin.com/jobs/view/4441085596
70.0,1,other,Moon Technolabs,Voip Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/voip-engineer-at-moon-technolabs-4298586024,https://www.linkedin.com/jobs/view/4298586024
50.0,1,other,Zydus Group,Historian & IT-OT Functional Manager (Manufacturing Function – IT),"Ahmedabad, Gujarat",ahmedabad,12,18,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5899549705?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5899549705?utm_medium=api&utm_source=93a24393
90.0,0,analyst,Kyndryl,Business Analyst,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5894389831?se=UFNzh8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=2C387911185DBAEB8210585D892FEA90BBE3FEB3,https://www.adzuna.in/land/ad/5894389831?se=UFNzh8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=2C387911185DBAEB8210585D892FEA90BBE3FEB3
90.0,0,analyst,EXL,Data Analyst - Banking -SAS/Python/SQL,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,80.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5898131307?se=UFNzh8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688,https://www.adzuna.in/land/ad/5898131307?se=UFNzh8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688
90.0,0,analyst,EXL,Data Analyst - Banking -SAS/Python/SQL,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,80.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5898131307?se=pH01iMi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688,https://www.adzuna.in/land/ad/5898131307?se=pH01iMi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688
90.0,0,swe,Kyndryl,Software Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5894389915?se=XgnMiMi58RGCw6kuTDrJlg&utm_medium=api&utm_source=93a24393&v=E7535A8A9527F7E3BFF49B44D61963FADE357A23,https://www.adzuna.in/land/ad/5894389915?se=XgnMiMi58RGCw6kuTDrJlg&utm_medium=api&utm_source=93a24393&v=E7535A8A9527F7E3BFF49B44D61963FADE357A23
90.0,0,analyst,Kyndryl,Business Analyst,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5894389831?se=vN3Uici58RGxS4eBPKibuA&utm_medium=api&utm_source=93a24393&v=2C387911185DBAEB8210585D892FEA90BBE3FEB3,https://www.adzuna.in/land/ad/5894389831?se=vN3Uici58RGxS4eBPKibuA&utm_medium=api&utm_source=93a24393&v=2C387911185DBAEB8210585D892FEA90BBE3FEB3
90.0,0,analyst,EXL,Data Analyst - Banking -SAS/Python/SQL,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,80.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5898131307?se=_ENHisi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688,https://www.adzuna.in/land/ad/5898131307?se=_ENHisi58RGGcpzgq69x0w&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688
90.0,0,analyst,EXL,Data Analyst - Banking -SAS/Python/SQL,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,80.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5898131307?se=4HIVi8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688,https://www.adzuna.in/land/ad/5898131307?se=4HIVi8i58RG3jpCv9xpWmA&utm_medium=api&utm_source=93a24393&v=198F9E19277F9AA09E9E5D4D6E08F13A930ED688
90.0,0,swe,Kyndryl,Software Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5894389915?se=9N18i8i58RGQVeEcPYJRWw&utm_medium=api&utm_source=93a24393&v=E7535A8A9527F7E3BFF49B44D61963FADE357A23,https://www.adzuna.in/land/ad/5894389915?se=9N18i8i58RGQVeEcPYJRWw&utm_medium=api&utm_source=93a24393&v=E7535A8A9527F7E3BFF49B44D61963FADE357A23
90.0,0,swe,Alignerr,Software Engineer (AI Training),"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/software-engineer-ai-training-at-alignerr-4471821816,https://www.linkedin.com/jobs/view/4471821816
90.0,0,swe,IGNOSIS AI,Software Engineer – AI Products,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/software-engineer-%E2%80%93-ai-products-at-ignosis-ai-4469743231,https://www.linkedin.com/jobs/view/4469743231
90.0,0,swe,Golden Leaf IT Solution,Dynamic 365 Developer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4462674580,https://www.linkedin.com/jobs/view/4462674580
50.0,0,analyst,Kyndryl,Business Analyst,"Bangalore, Karnataka",india_other,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5885765169?se=vN3Uici58RGxS4eBPKibuA&utm_medium=api&utm_source=93a24393&v=BEA6BC7277DB52E819F0825132E5AD7CB2CAFA61,https://www.adzuna.in/land/ad/5885765169?se=vN3Uici58RGxS4eBPKibuA&utm_medium=api&utm_source=93a24393&v=BEA6BC7277DB52E819F0825132E5AD7CB2CAFA61
50.0,0,analyst,Capco,Business Analyst,India,india_other,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5837139386?se=vN3Uici58RGxS4eBPKibuA&utm_medium=api&utm_source=93a24393&v=E3DCC2DBFE4E6A7A1CEDD56C704AE19E69B379A7,https://www.adzuna.in/land/ad/5837139386?se=vN3Uici58RGxS4eBPKibuA&utm_medium=api&utm_source=93a24393&v=E3DCC2DBFE4E6A7A1CEDD56C704AE19E69B379A7
